地名,ちめい,緯度,経度,地方,
ニコシア,Nicosia,35.09302,33.22,キプロス,Europe/Nicosia
ブルノ,Brno,49.12302,16.39302,チェコ,MET
オストラバ,Ostrava,49.49451,18.14449,チェコ,MET
プルゼニ,Plzen,49.45,13.24302,チェコ,MET
オロモウツ,Olomouc,49.38,17.1545,チェコ,MET
ウースチーナドラベム,Ust｡ nad Labem,50.40001,14.02,チェコ,MET
リベレツ,Liberec,50.48,15.05,チェコ,MET
フラデツ・クラーロベー,Hradec Kralove,50.133,15.5,チェコ,MET
チェスケー・ブジェヨビツェ,Ceske Budejovice,48.59301,14.29,チェコ,MET
パルドゥビツェ,Pardubice,50.03,15.45,チェコ,MET
プラハ,Praha,50.05449,14.26298,チェコ,MET
キンシャサ,Kinshasa,-4.18598,15.18302,コンゴ民主共和国,Africa/Kinshasa
ルブンバシ,Lubumbashi,-11.403,27.283,コンゴ民主共和国,Africa/Lubumbashi
カナンガ,Kananga,-5.523,22.26,コンゴ民主共和国,Africa/Lubumbashi
キサンガニ,Kisangani,0.32298,25.133,コンゴ民主共和国,Africa/Lubumbashi
リカシ,Likasi,-10.57,26.463,コンゴ民主共和国,Africa/Lubumbashi
ブカブ,Bukavu,-2.3,28.48,コンゴ民主共和国,Africa/Lubumbashi
キクウィト,Kikwit,-5.00299,18.51302,コンゴ民主共和国,Africa/Lubumbashi
マタディ,Matadi,-5.48299,13.33299,コンゴ民主共和国,Africa/Lubumbashi
ムバンダカ,Mbandaka,0.03,18.163,コンゴ民主共和国,Africa/Lubumbashi
ムブジマイ,Mbuji Mayi,-6.08002,23.38298,コンゴ民主共和国,Africa/Lubumbashi
オーデンセ,Odense,55.24302,10.22001,デンマーク,America/Thule
エスビアウ,Esbjerg,55.29301,8.26301,デンマーク,America/Thule
ラナース,Randers,56.28001,10.02002,デンマーク,America/Thule
チューレ,Thule,76.34,-68.47,デンマーク,America/Thule
コペンハーゲン,Copenhagen,55.42,12.32298,デンマーク,Europe/Copenhagen
ジブチ,Djibouti,11.35298,43.08002,ジブチ,Africa/Djibouti
ロゾー,Roseau,15.18302,-61.22599,ドミニカ,America/Santo_Domingo
サントドミンゴ,Santo Domingo,18.30302,-69.57,ドミニカ共和国,America/Santo_Domingo
グアヤキル,Guayaquil,-2.12302,-79.54598,エクアドル,America/Guayaquil
キト,Quito,-0.13599,-78.3,エクアドル,America/Guayaquil
クエンカ,Cuenca,-2.53298,-79,エクアドル,America/Guayaquil
アレキサンドリア,Alexandria,31.13,29.55,エジプト,EET
ギーザ,Giza,30.01,31.1,エジプト,EET
ポートサイド,Port Said,31.17298,32.18,エジプト,EET
タンタ,Tanta,30.48,30.59298,エジプト,EET
アシュート,Asyut,27.12299,31.09299,エジプト,EET
スエズ,Suez,29.59,32.31,エジプト,EET
ファイユーム,Al-Fayyum,29.193,30.493,エジプト,EET
ダマンフール,Damanhur,31.03299,30.28001,エジプト,EET
ミニヤー,Al-Minya,28.043,30.463,エジプト,EET
アスワン,Aswan,24.05,32.55,エジプト,EET
ベニ・スエフ,Bani Suwayf,29.06,31.043,エジプト,EET
ルクソール,Luxor,25.41,32.4,エジプト,EET
カイロ,Cairo,30.03302,31.15302,エジプト,Africa/Cairo
ケナ,Qena,26.17514,32.38218,エジプト,EET
ソハーグ,Sohag,26.51068,31.20542,エジプト,EET
マトル,Matruh,31.15148,27.1644,エジプト,EET
サンサルバドル,San Salvador,13.403,-89.11301,エルサルバドル,America/El_Salvador
マラボ,Malabo,3.45,8.47298,赤道ギニア,Africa/Malabo
アスマラ,Asmera,15.19451,38.5315,エリトリア,Africa/Asmera
タリン,Tallinn,59.24302,24.44002,エストニア,Europe/Tallinn
タルトゥ,Tartu,58.21299,26.403,エストニア,Europe/Tallinn
ナルバ,Narva,59.21302,28.103,エストニア,Europe/Tallinn
アディスアベバ,Addis Ababa,9.03,38.5,エチオピア,Africa/Addis_Ababa
ディレ・ダワ,Dire Dawa,9.43563,41.58084,エチオピア,Africa/Addis_Ababa
カラフォ,callafo,5.56391,44.14337,エチオピア,Africa/Addis_Ababa
ワジャーレ,Wajale,9.36515,43.13066,エチオピア,Africa/Addis_Ababa
アディグラト,Adigrat,14.21295,39.24288,エチオピア,Africa/Addis_Ababa
ヤベロ,Yabelo,4.49332,38.14384,エチオピア,Africa/Addis_Ababa
ゴンダル,Gonder,12.25282,37.13048,エチオピア,Africa/Addis_Ababa
デムビ・ドロ,Dembi Dolo,8.44424,34.42155,エチオピア,Africa/Addis_Ababa
スバ,Suva,-18.08298,178.26,フィジー,Pacific/Fiji
ヘルシンキ,Helsinki,60.103,24.56298,フィンランド,Europe/Helsinki
タンペレー,Tampere,61.30299,23.433,フィンランド,EET
ハメーンリンナ,Hameenlinna,60.5803,24.2104,フィンランド,EET
エスポー,Espoo,60.103,24.37,フィンランド,EET
オウル,Oulu,64.59298,25.27299,フィンランド,EET
ロバニエミ,Rovaniemi,66.31458,25.3958,フィンランド,EET
ポリ,Pori,61.27302,21.45,フィンランド,EET
クオピオ,Kuopio,62.53002,27.38002,フィンランド,EET
ユバスキュラ,Jyvaskyla,62.16001,25.47298,フィンランド,EET
コトカ,Kotka,60.283,26.54302,フィンランド,EET
バーサ,Vaasa,63.05298,21.373,フィンランド,EET
トゥルク,Turky,60.26298,22.15302,フィンランド,EET
トゥールーズ,Toulouse,43.373,1.27302,フランス,Europe/Paris
ニース,Nice,43.42302,7.15302,フランス,Europe/Paris
ストラスブール,Strasbourg,48.36,7.45,フランス,Europe/Paris
ナント,Nantes,47.133,-1.34599,フランス,Europe/Paris
ボルドー,Bordeaux,44.5,-0.343,フランス,Europe/Paris
モンペリエ,Montpellier,43.35002,3.51,フランス,Europe/Paris
ルアーブル,Le Havre,49.3,0.073,フランス,Europe/Paris
レンヌ,Rennes,48.06,-1.40599,フランス,Europe/Paris
ランス,Reims,49.15,4.03299,フランス,Europe/Paris
トゥーロン,Toulon,43.08301,5.54299,フランス,Europe/Paris
クレルモン・フェラン,Clermont-Ferrand,45.47,3.06299,フランス,Europe/Paris
ディジョン,Dijon,47.18302,5.03,フランス,Europe/Paris
リモージュ,Limoges,45.51,1.15302,フランス,Europe/Paris
ペルピニャン,Perpignan,42.41,2.53,フランス,Europe/Paris
ルーアン,Rouen,49.27299,1.05,フランス,Europe/Paris
ナンシー,Nancy,48.41298,6.103,フランス,Europe/Paris
カレー,Calais,50.57,1.523,フランス,Europe/Paris
シェルブール,Cherbourg,49.38298,-1.38002,フランス,Europe/Paris
リール,Lille,50.373,3.05301,フランス,Europe/Paris
パリ,Paris,48.523,2.223,フランス,Europe/Paris
リヨン,Lyon,45.463,4.51,フランス,Europe/Paris
マルセイユ,Marseille,43.193,5.223,フランス,Europe/Paris
シャモニー,Chamonix,45.58,6.5,フランス,Europe/Paris
ルマン,Lemans,48.00302,0.11002,フランス,Europe/Paris
サン・ナゼール,Sr.Nazaire,47.20287,-2.11154,フランス,Europe/Paris
ブレスト,Brest,48.24176,-4.24043,フランス,Europe/Paris
アミアン,Amiens,49.54558,2.1505,フランス,Europe/Paris
メッツ,Metz,49.05535,6.06234,フランス,Europe/Paris
ミュルーズ,Mulhouse,47.50366,7.24133,フランス,Europe/Paris
ブザンソン,Besancon,47.13253,5.57436,フランス,Europe/Paris
アヌシー,Annecy,45.52235,6.03029,フランス,Europe/Paris
バイヨンヌ,Bayonne,43.29499,-1.2839,フランス,Europe/Paris
オルレアン,Orleaans,47.55379,1.53481,フランス,Europe/Paris
アンジェ,Angers,47.31304,-0.24018,フランス,Europe/Paris
ロリアン,Lorient,47.50366,-3.3027,フランス,Europe/Paris
カイエンヌ,Cayenne,4.54302,-52.17298,フランス領ギアナ,America/Cayenne
パペーテ,Papeete,-17.32298,-149.333,フランス領ポリネシア,GMT-10:00
リーブルビル,Libreville,0.25,9.253,ガボン,Africa/Libreville
バンジュール,Banjul,13.27302,-16.39,ガンビア,Africa/Banjul
トビリシ,Tbilisi,41.42302,44.47301,グルジア,Asia/Tbilisi
ルスタビ,Rustavi,41.33151,45.02298,グルジア,Asia/Tbilisi
クタイシ,Kutaisi,42.15,42.41002,グルジア,Asia/Tbilisi
バツーミ,Batumi,41.38,41.38,グルジア,Asia/Tbilisi
スフミ,Sukhumi,43.01001,41.01,グルジア,Asia/Tbilisi
ポチ,Poti,42.11298,41.403,グルジア,Asia/Tbilisi
チアトゥーラ,Chiatura,42.15,43.17,グルジア,Asia/Tbilisi
ハンブルク,Hamburg,53.32298,9.59298,ドイツ,MET
ベルリン,Berlin,52.30299,13.223,ドイツ,Europe/Berlin
エッセン,Essen,51.2615,7.00299,ドイツ,MET
フランクフルト,Frankfurt,50.06,8.41,ドイツ,MET
ドルトムント,Dortmund,51.31,7.253,ドイツ,MET
シュトゥットガルト,Stuttgart,48.48,9.12,ドイツ,MET
デュッセルドルフ,Dusseldorf,51.12,6.48,ドイツ,MET
ライプチヒ,Leipzig,51.20298,12.24,ドイツ,MET
ブレーメン,Bremen,53.03299,8.49,ドイツ,MET
ドレスデン,Dresden,51.03302,13.44298,ドイツ,MET
デュースブルク,Duisburg,51.24151,6.46001,ドイツ,MET
ハノーファー,Hannover,52.223,9.44,ドイツ,MET
ニュルンベルク,Nurnberg,49.26298,11.04001,ドイツ,MET
マンハイム,Mannheim,49.29,8.29,ドイツ,MET
ボン,Bonn,50.43,7.05298,ドイツ,MET
マクデブルク,Magdeburg,52.07,11.36302,ドイツ,MET
ヴィースバーデン,Wiesbaden,50.04,8.133,ドイツ,MET
ロストク,Rostock,54.043,12.07,ドイツ,MET
アウクスブルク,Augsburg,48.23,10.54,ドイツ,MET
キール,Kiel,54.18299,10.06,ドイツ,MET
ハレ,Halle,51.29002,11.59002,ドイツ,MET
エルフルト,Erfurt,50.583,11.02,ドイツ,MET
マインツ,Mainz,49.59301,8.15302,ドイツ,MET
フライブルク,Freiburg,47.59,7.493,ドイツ,MET
カッセル,Kassel,51.19001,9.29,ドイツ,MET
ザールブリュッケン,Saarbrucken,49.15,6.583,ドイツ,MET
ポツダム,Potsdam,52.24,13.013,ドイツ,MET
ハイデルベルク,Heidelberg,49.25,8.43,ドイツ,MET
ブレーマーハーフェン,Bremerhaven,53.313,8.35002,ドイツ,MET
シュウェリン,Schwerin,53.373,11.23002,ドイツ,MET
ビュルツブルク,Wurzburg,49.48302,9.57,ドイツ,MET
レーゲンスブルク,Regensburg,49.01001,12.073,ドイツ,MET
ミュンヘン,Munchen,48.08298,11.35,ドイツ,MET
ローテンブルク,Rothenburg,49.3,10.05,ドイツ,MET
ケルン,Koln,50.56298,6.56298,ドイツ,MET
アクラ,Accra,5.33,-0.15,ガーナ,Africa/Accra
クマシ,Kumasi,6.42,-1.36,ガーナ,Africa/Accra
タマレ,Tamale,9.253,-0.50301,ガーナ,Africa/Accra
テマ,Tema,5.403,-0.013,ガーナ,Africa/Accra
ケープコースト,Cape Coast,5.07,-1.14301,ガーナ,Africa/Accra
アテネ,Athens,38,23.433,ギリシャ,Europe/Athens
テッサロニキ,Thessaloniki,40.39299,22.57,ギリシャ,EET
ピレウス,Piraeus,37.57302,23.403,ギリシャ,EET
パトラス,Patras,38.14298,21.45299,ギリシャ,EET
ラリッサ,Larissa,39.38298,22.26002,ギリシャ,EET
イラクリオン,Iraklion,35.21,25.1,ギリシャ,EET
ボロス,Volos,39.23002,22.56002,ギリシャ,EET
オリンビア,Olimbia,37.40473,21.4429,ギリシャ,EET
メガロポリス,Megalopolis,37.22469,22.08341,ギリシャ,EET
スパルタ,Sparti,37.09194,22.22412,ギリシャ,EET
ネアポリス,NeaPolis,36.33086,23.02553,ギリシャ,EET
キティラ,Kithira,36.10289,23.00068,ギリシャ,EET
オリンボス,Olimbos,35.47269,27.1209,ギリシャ,EET
セントジョージズ,St.georges,12.04001,-61.43599,グレナダ,GMT-04:00
グアテマラシティ,Guatemala City,14.37,-90.313,グアテマラ,America/Guatemala
ケサルテナンゴ,Quezaltenango,14.49,-91.30598,グアテマラ,America/Guatemala
ビザウ,Bissau,11.52001,-15.39598,ギニアビサウ,Africa/Bissau
コナクリ,Conakry,9.31001,-13.42302,ギニア,Africa/Conakry
ジョージタウン,Georgetown,6.46,-58.1,ガイアナ,GMT-04:00
ポルトープランス,Portauprince,18.32002,-72.193,ハイチ,GMT-05:00
テグシガルパ,Tegucigalpa,14.043,-87.14,ホンジュラス,America/Tegucigalpa
サンペドロスーラ,San Pedro Sula,15.263,-88.013,ホンジュラス,America/Tegucigalpa
ラ・セイバ,La Ceiba,15.4219,-86.5754,ホンジュラス,America/Tegucigalpa
チョルテカ,Choluteca,13.1921,-87.1207,ホンジュラス,America/Tegucigalpa
ロアタン,Roatan,16.2019,-86.3558,ホンジュラス,America/Tegucigalpa
ウティラ,Utila,16.07,-86.5452,ホンジュラス,America/Tegucigalpa
ブダペスト,Budapest,47.3,19.04,ハンガリー,Europe/Budapest
デブレツェン,Debrecen,47.30302,21.373,ハンガリー,MET
ミシュコルツ,Miskolc,48.07001,20.47298,ハンガリー,MET
セゲド,Szeged,46.15,20.08298,ハンガリー,MET
ソンバトヘイ,Szombathely,47.15,16.38298,ハンガリー,MET
ソルノク,Szolnok,47.11002,20.103,ハンガリー,MET
カポシュバール,Kaposvar,46.23002,17.45,ハンガリー,MET
ベーケシュチャバ,Bekescsaba,46.403,21.05298,ハンガリー,MET
ザラエゲルセグ,Zalaegerszeg,46.50298,16.51,ハンガリー,MET
ニーレジュハーザ,Nyiregyhaza,47.58,21.43001,ハンガリー,MET
レイキャビク,Reykjavik,64.08298,-21.58001,アイスランド,Atlantic/Reykjavik
デリー,Delhi,27.49,77.3,インド,IST
ニューデリー,New Delhi,28.33302,77.11002,インド,IST
カルカッタ,Calcutta,22.34,88.24,インド,Asia/Calcutta
マドラス,Madras,13.06,80.163,インド,IST
ハイダラーバード,Hyderabad,17.22,78.26,インド,IST
アフマダーバード,Ahmadabad,23.02298,72.37001,インド,IST
バンガロール,Bangalore,12.583,77.343,インド,IST
カーンプル,Kanpur,26.26298,80.15,インド,IST
ナーグプル,Nagpur,21.103,79.09,インド,IST
ラクナウ,Lucknow,26.493,80.56301,インド,IST
プネー,Pune,18.32301,73.56002,インド,IST
スラト,Surat,21.08301,72.51,インド,IST
ジャイプル,Jaipur,26.54,75.49001,インド,IST
コインバトール,Coimbatore,11,76.57302,インド,IST
マドゥライ,Madurai,9.55,78.06302,インド,IST
インドール,Indore,22.433,75.523,インド,IST
ボーパール,Bhopal,23.163,77.23298,インド,IST
ビシャカパトナム,Vishakhapatnam,17.45302,83.17002,インド,IST
パトナー,Patna,25.35298,85.073,インド,IST
ハウラー,Howrah,22.35298,88.18299,インド,IST
アラーハーバード,Allahabad,25.27302,81.49,インド,IST
ジャカルタ,Jabalpur,23.11002,79.56298,インド,IST
アムリッツァル,Amritsar,31.35298,74.523,インド,IST
スリナガル,Srinagar,34.043,74.49001,インド,IST
カリカット,Calicut,11.13,75.49001,インド,IST
グワーリオール,Gwalior,26.14301,78.14301,インド,IST
コーチン,Cochin,9.54302,76.14298,インド,IST
ジョードプル,Jodhpur,26.17,73.02298,インド,IST
ラーンチー,Ranchi,23.193,85.18299,インド,IST
トリバンドラム,Trivandrum,8.29,76.56301,インド,IST
ビジャヤワダ,Vijayawada,16.33302,80.36,インド,IST
ラージコート,Rajkot,22.19,70.493,インド,IST
マイソール,Mysore,12.17298,76.39302,インド,IST
ジャムシェドプル,Jamshedpur,22.45302,86.12299,インド,IST
メーラト,Meerut,29.01,77.433,インド,IST
バレーリー,Bareilly,28.23002,79.24,インド,IST
チャンディーガル,Chandigarh,30.45,76.54302,インド,IST
グントゥール,Guntur,16.18,80.24302,インド,IST
セーレム,Salem,11.36302,78.05002,インド,IST
コールハープル,Kolhapur,16.44298,74.13001,インド,IST
ライプル,Raipur,21.15,81.38298,インド,IST
ワランガル,Warangal,18,79.373,インド,IST
バウナガル,Bhavnagar,21.44301,72.11298,インド,IST
サハーランプル,Saharanpur,29.56301,77.35002,インド,IST
ゴーラクプル,Gorakhpur,26.44298,83.26002,インド,IST
ベルガウム,Belgaum,15.51302,74.31001,インド,IST
カタック,Cuttack,20.28,85.523,インド,IST
アムラバティ,Amravati,20.56298,77.47002,インド,IST
ビーカーネール,Bikaner,28.04001,73.19,インド,IST
ガヤー,Gaya,24.47298,84.59298,インド,IST
ジャーンシー,Jhansi,25.26298,78.343,インド,IST
ネロール,Nellore,14.26,79.57302,インド,IST
バーガルプル,Bhagalpur,25.14002,86.583,インド,IST
グルバルガ,Gulbarga,17.21299,76.48,インド,IST
ブバネーシュワル,Bhubaneswar,20.133,85.48299,インド,IST
ジャンムー,Jammu,32.43,74.51302,インド,IST
ボンベイ,Bombay,18.59,72.50298,インド,IST
インパール,Imphal,24.42558,94.02107,インド,IST
ディブルガール,Dibrugarh,27.12292,94.22332,インド,IST
ジャカルタ,Jakarta,-6.073,106.443,インドネシア,Asia/Jakarta
スラバヤ,Surabaya,-7.14298,112.42,インドネシア,Asia/Jakarta
メダン,Medan,3.36,98.39,インドネシア,Asia/Jakarta
バンドン,Bandung,-6.56298,107.333,インドネシア,Asia/Jakarta
スマラン,Semarang,-6.583,110.28,インドネシア,Asia/Jakarta
パレンバン,Palembang,-2.583,104.45,インドネシア,Asia/Jakarta
ウジュンパンダン,Ujung Pandang,-5.08298,119.27,インドネシア,Asia/Ujung_Pandang
マラン,Malang,-7.59298,112.423,インドネシア,Asia/Ujung_Pandang
パダン,Padang,-0.57302,100.22,インドネシア,Asia/Ujung_Pandang
スラカルタ,Surakarta,-7.32298,110.49,インドネシア,Asia/Ujung_Pandang
ジョクジャカルタ,Yogyakarta,-7.47298,110.223,インドネシア,Asia/Ujung_Pandang
バンジェルマシン,Banjarmasin,-3.193,114.333,インドネシア,Asia/Ujung_Pandang
ポンティアナ,Pontianak,-0.03598,109.173,インドネシア,Asia/Pontianak
バリクパパン,Balikpapan,-1.15299,116.49,インドネシア,Asia/Pontianak
サマリンダ,Samarinda,-0.3,117.073,インドネシア,Asia/Pontianak
デンパサル,Denpasar,-8.373,115.113,インドネシア,Asia/Pontianak
ボゴール,Bogor,-6.34599,106.453,インドネシア,Asia/Pontianak
テラナイプラ,Telanaipura,-1.36302,103.373,インドネシア,Asia/Pontianak
クディリ,Kediri,-7.47301,112.003,インドネシア,Asia/Pontianak
メナド,Manado,1.29,124.523,インドネシア,Asia/Pontianak
パカンバル,Pakanbaru,0.32298,101.273,インドネシア,Asia/Pontianak
マディウン,Madiun,-7.37001,111.31,インドネシア,Asia/Pontianak
ペマタンシアンタル,Pematangsiantar,2.58,99.02002,インドネシア,Asia/Pontianak
ペカロンガン,Pekalongan,-6.53298,109.373,インドネシア,Asia/Pontianak
マゲラン,Magelang,-7.28001,110.11,インドネシア,Asia/Pontianak
マタラム,Mataram,-8.33598,116.063,インドネシア,Asia/Pontianak
タンジュンカラン,Tanjungkarang,-2.11,115.23,インドネシア,Asia/Pontianak
ソロン,Sorong,-1,131,インドネシア,Asia/Pontianak
テヘラン,Tehran,35.38301,51.24299,イラン,Asia/Tehran
イスファン,Isfahan,32.39299,51.38,イラン,Iran
タブリーズ,Tabriz,38.02298,46.163,イラン,Iran
シーラーズ,Shiraz,29.37,52.33,イラン,Iran
ウルミエ,Orumiyeh,37.33,45.013,イラン,Iran
ラシュト,Rasht,37.16001,49.35002,イラン,Iran
サーヘダーン,Zahedan,29.3,60.52,イラン,Iran
ハマダーン,Hamadan,34.48,48.29002,イラン,Iran
ケルマーン,Kerman,30.15299,57.02298,イラン,Iran
カズビーン,Qazvin,36.15,49.583,イラン,Iran
ヤズド,Yazd,31.53298,54.223,イラン,Iran
マシュハド,Mashhad,36.1,59.49,イラン,Iran
ケルマーンシャー,Kermanshah,34.3,47.49,イラン,Iran
アフワーズ,Ahwaz,31.17,48.43,イラン,Iran
バグダッド,Baghdad,33.193,44.25,イラク,Asia/Baghdad
キルクーク,Kirkuk,35.26301,44.253,イラク,BT
アルビール,Irbil,36.103,44.00302,イラク,BT
ヒッラ,Al-Hillah,32.28,44.27,イラク,BT
カルバラー,Karbala,32.36302,44.013,イラク,BT
バスラ,Basra,30.4033,47.5027,イラク,BT
モースル,Mawsil,36.193,43.05298,イラク,BT
ダブリン,Dublin,53.203,-6.153,アイルランド,Europe/Dublin
ドロエダ,Drogheda,53.4249,-6.2028,アイルランド,WET
ダンドルク,Dundaik,54.0034,-6.2439,アイルランド,WET
スライゴ,Sligo,54.1636,-8.2832,アイルランド,WET
リムリック,Limerick,52.39,-8.363,アイルランド,WET
コーク,Cork,51.533,-8.26,アイルランド,WET
ダンレアレ,Dun Laoghaire,53.163,-6.083,アイルランド,WET
ツーラモーア,Tullamore,53.174,-7.3402,アイルランド,WET
アスローン,Athlone,53.2625,-7.5712,アイルランド,WET
ゴルウェー,Galway,53.1819,-9.0224,アイルランド,WET
トラリー,Tralee,52.1541,-9.435,アイルランド,WET
キラーニー,Kilarney,52.0259,-9.3134,アイルランド,WET
ウォーターフォード,Waterford,52.1552,-7.0715,アイルランド,WET
エルサレム,Jerusalem,31.46,35.13001,イスラエル,Asia/Jerusalem
ハイファ,Haifa,32.48,35.00299,イスラエル,Israel
ホロン,Holon,32.01,34.48,イスラエル,Israel
ベールシェバ,Beersheba,31.133,34.48299,イスラエル,Israel
テルアビブヤフォ,Tel Aviv yafo,32.05,34.46,イスラエル,Israel
パレルモ,Palermo,38.073,13.21299,イタリア,MET
ボローニャ,Bologna,44.3,11.20298,イタリア,MET
バリ,Bari,41.06302,16.52001,イタリア,MET
メッシナ,Messina,38.11298,15.32002,イタリア,MET
ベローナ,Verona,45.26298,10.59002,イタリア,MET
ターラント,Taranto,40.283,17.14002,イタリア,MET
トリエステ,Trieste,45.40001,13.46001,イタリア,MET
カリアリ,Cagliari,39.133,9.06,イタリア,MET
モデナ,Modena,44.39302,10.55001,イタリア,MET
パルマ,Parma,44.48302,10.21,イタリア,MET
フォッジア,Foggia,41.27302,15.34001,イタリア,MET
サレルノ,Salerno,40.42,14.463,イタリア,MET
ペルージア,Perugia,43.073,12.223,イタリア,MET
ラベンナ,Ravenna,44.25001,12.11298,イタリア,MET
ペスカラ,Pescara,42.27302,14.133,イタリア,MET
