地名,ちめい,緯度,経度,地方,
エルズルム,Erzurum,39.553,41.17,トルコ,Europe/Istanbul
マラトヤ,Malatya,38.213,38.183,トルコ,Europe/Istanbul
シワス,Sivas,39.443,37.02,トルコ,Europe/Istanbul
エラーズー,Elazig,38.413,39.14,トルコ,Europe/Istanbul
バルケシル,Balikesir,39.38,27.52,トルコ,Europe/Istanbul
ワン,Van,38.273,43.2,トルコ,Europe/Istanbul
キュタヒヤ,Kutahya,39.243,29.58,トルコ,Europe/Istanbul
ゾングルダク,Zonguldak,41.292,31.5437,トルコ,Europe/Istanbul
アダパザル,Adapazari,40.4332,30.4026,トルコ,Europe/Istanbul
イズミット,Izmit,40.4443,29.5807,トルコ,Europe/Istanbul
デニズリ,Denizli,37.4949,29.0948,トルコ,Europe/Istanbul
アダナ,Adana,37.0919,35.1842,トルコ,Europe/Istanbul
マラシ,Maras,37.3917,36.5509,トルコ,Europe/Istanbul
アシガバード,Ashkhabad,37.56002,58.21299,トルクメニスタン,Asia/Ashkhabad
タシャウス,Tashauz,41.493,59.553,トルクメニスタン,Asia/Ashkhabad
クラスノボーツク,Krasnovodsk,40.02002,52.59002,トルクメニスタン,Asia/Ashkhabad
チャルジョウ,Chardzhou,39.05449,63.33302,トルクメニスタン,Asia/Ashkhabad
フナフティ,Funafuti,-8.1,179.1,ツバル,Pacific/Funafuti
カンパラ,Kampala,0.19,32.35,ウガンダ,Africa/Kampala
ジンジャ,Jinja,0.27302,33.133,ウガンダ,Africa/Kampala
キエフ,Kiev,50.25001,30.29298,ウクライナ,Europe/Kiev
ハリコフ,Kharkov,49.59002,36.13,ウクライナ,Europe/Kiev
ドニエプロペトロフスク,Dnepropetrovsk,48.27,35,ウクライナ,Europe/Kiev
リヴォフ,Lvov,49.51,24,ウクライナ,Europe/Kiev
クリヴォイログ,Krivoi Rog,47.4,33.3,ウクライナ,Europe/Kiev
オデッサ,Odessa,46.28001,30.44,ウクライナ,Europe/Kiev
ドネツク,Donetsk,48,37.48,ウクライナ,Europe/Kiev
ザポロージエ,Zaporozhye,47.5,35.10001,ウクライナ,Europe/Zaporozhye
クリボイログ,Krivoy Rog,47.55001,33.21,ウクライナ,Europe/Zaporozhye
ニコラエフ,Nikolayev,46.5745,32,ウクライナ,Europe/Zaporozhye
チェルニゴフ,Chernigov,51.29298,31.17002,ウクライナ,Europe/Zaporozhye
ポートビラ,Poltava,49.3515,34.34001,ウクライナ,Europe/Zaporozhye
ビンニツァ,Vinnitsa,49.13,28.29,ウクライナ,Europe/Zaporozhye
マケエフカ,Makeyevka,48.01,37.58001,ウクライナ,Europe/Zaporozhye
ゴルロフカ,Gorlovka,48.17002,38.0215,ウクライナ,Europe/Zaporozhye
ヘルソン,Kherson,46.38,32.3515,ウクライナ,Europe/Zaporozhye
セヴァストポリ,Sevastopol,44.36,33.32,ウクライナ,Europe/Zaporozhye
シンフェローポリ,Simferopol,44.57,34.06,ウクライナ,Europe/Simferopol
バーミンガム,Birmingham,52.283,-1.49599,イギリス,GMT
アバディーン,Aberdeen,57.1,-2.04,イギリス,GMT
グラスゴー,Glasgow,55.51,-4.15,イギリス,GMT
ヨーク,York,53.58001,-1.03299,イギリス,GMT
リバプール,Liverpool,53.253,-2.56301,イギリス,GMT
リーズ,Leeds,53.49,-1.33,イギリス,GMT
マンチェスター,Manchester,53.3,-2.15,イギリス,GMT
ブリストル,Bristol,51.27,-2.35298,イギリス,GMT
エディンバラ,Edinburgh,55.56298,-3.11002,イギリス,GMT
ベルファスト,Belfast,54.35,-5.55599,イギリス,Europe/Belfast
ノッティンガム,Nottingham,52.58001,-1.09,イギリス,GMT
ロンドン,London,51.3,-0.1,イギリス,Europe/London
サウサンプトン,Southampton,50.553,-1.26002,イギリス,GMT
スウォンジー,Swansea,51.38,-3.57302,イギリス,GMT
ダンディー,Dundee,56.283,-2.583,イギリス,GMT
ノリッジ,Norwich,52.373,1.16,イギリス,GMT
オックスフォード,Oxford,51.47002,-1.17002,イギリス,GMT
ポーツマス,Portsmouth,50.48,-1.05,イギリス,GMT
プリマス,Plymauth,50.223,-4.11301,イギリス,GMT
シェフィールド,Shefield,53.23298,-1.29002,イギリス,GMT
ケンブリッジ,Cambridge,52.1,0.1,イギリス,GMT
ドーバー,Dover,51.1,1,イギリス,GMT
カーディフ,Caediff,51.29,-3.11301,イギリス,GMT
ドバイ,Dubayyi,25.12299,55.17298,アラブ首長国連邦,GMT+04:00
アブダビ,Abu Zabi,24.28,54.25,アラブ首長国連邦,GMT+04:00
モンテビデオ,Montevideo,-34.53002,-56.08301,ウルグアイ,America/Montevideo
サルト,Salto,-31.26002,-57.553,ウルグアイ,America/Montevideo
パイサンド,Paysandu,-32.20298,-58.03598,ウルグアイ,America/Montevideo
アラバマ州,Alabama,32.3702,-86.3816,アメリカ,CST
バーミングハム,Birmingham,33.31,-86.48,アメリカ・アラバマ州,CST
ハンツビル,Huntsville,34.44002,-86.343,アメリカ・アラバマ州,CST
モントゴメリー,Montgomery,32.22,-86.17298,アメリカ・アラバマ州,CST
モビール,Mobile,30.41,-88.03598,アメリカ・アラバマ州,CST
アラスカ州,Alaska,65.3614,-152.4737,アメリカ,US/Alaska
アンカレジ,Anchorage,61.12,-149.54,アメリカ,America/Anchorage
バロー,Barrow,70.3,-156.4,アメリカ,AKST
ベセル,Bethel,61,-161.4,アメリカ,AKST
ノーム,Nome,64.4,-165.3,アメリカ,America/Nome
アリゾナ州,Arizona,34.3117,-112.1658,アメリカ,US/Arizona
フェニックス,Phoenix,33.3,-112.043,アメリカ・アリゾナ州,America/Phoenix
メサ,Mesa,33.24302,-111.49,アメリカ・アリゾナ州,MST
トゥーソン,Tucson,32.13001,-110.563,アメリカ・アリゾナ州,MST
アーカンソー州,Arkansas,34.2543,-92.2108,アメリカ,CST
リトル・ロック,Little Rock,34.433,-92.17298,アメリカ・アーカンソー州,CST
カリフォルニア州,California,36.0435,-120.0246,アメリカ,PST
ロサンゼルス,Los Angeles,34.013,-118.143,アメリカ・カルフォルニア州,America/Los_Angeles
サンディエゴ,Sandiego,32.44002,-117.083,アメリカ・カルフォルニア州,PST
サンフランシスコ,San Francisco,37.45,-122.26,アメリカ・カルフォルニア州,PST
サクラメント,Sacramento,38.33302,-121.293,アメリカ・カルフォルニア州,PST
ストックトン,Stockton,37.57,-121.183,アメリカ・カルフォルニア州,PST
オークランド,Oakland,37.52001,-121.57,アメリカ・カルフォルニア州,PST
バークリー,Berkeley,37.523,-122.16,アメリカ・カルフォルニア州,PST
サンノゼ,San Jose,37.2445,-122.0215,アメリカ・カルフォルニア州,PST
フレズノ,Fresno,36.43,-119.46,アメリカ・カルフォルニア州,PST
ベーカーズフィールド,Bakersfield,35.23002,-119.003,アメリカ・カルフォルニア州,PST
サン・バーナディーノ,San Bernardino,34.073,-117.183,アメリカ・カルフォルニア州,PST
ロングビーチ,Long Beach,33.47002,-118.106,アメリカ・カルフォルニア州,PST
コロラド州,Colorado,39.0447,-106.3551,アメリカ,MST
デンバー,Denver,39.45,-105.003,アメリカ・コロラド州,America/Denver
コロラドスプリングス,Colorado Springs,38.52,-104.493,アメリカ・コロラド州,MST
プエブロ,Pueblo,38.163,-104.363,アメリカ・コロラド州,MST
コネチカット州,Connecticut,41.5705,-72.4315,アメリカ,EST
ハートフォード,Hartford,41.45302,-72.41298,アメリカ・コネチカット州,EST
ニューヘブン,New Haven,41.19,-72.553,アメリカ・コネチカット州,EST
デラウエア州,Delaware,38.4551,-75.2304,アメリカ,EST
フロリダ州,Florida,28.4811,-81.5554,アメリカ,CST
ジャクソンヴィル,Jacksonville,30.20002,-81.403,アメリカ・フロリダ州,CST
マイアミ,Miami,25.45302,-80.12299,アメリカ・フロリダ州,CST
タラハシー,Tallahassee,30.26,-84.17002,アメリカ・フロリダ州,CST
オーランド,Orlando,28.32298,-81.223,アメリカ・フロリダ州,CST
タンパ,Tampa,27.57,-82.27302,アメリカ・フロリダ州,CST
フォート・ローダデール,Fort Lauderdale,26.06302,-80.09299,アメリカ・フロリダ州,CST
ジョージア州,Georgia,32.3316,-83.1853,アメリカ,EST
アトランタ,Atlanta,33.45299,-84.223,アメリカ・ジョージア州,EST
メーコン,Macon,32.5,-83.373,アメリカ・ジョージア州,EST
ハワイ州,Hawaii,19.3431,-158.1033,アメリカ,US/Hawaii
ホノルル,Honolulu,21.19,-157.51,アメリカ・ハワイ州,Pacific/Honolulu
アイダホ州,Idaho,45.3536,-116.1428,アメリカ,PST
ボイシ,Boise,44,-116,アメリカ・アイダホ州,America/Boise
イリノイ州,Illinois,39.0447,-89.253,アメリカ,CST
シカゴ,Chicago,41.51,-87.42598,アメリカ・イリノイ州,America/Chicago
ロックフォード,Rockford,42.163,-89.05298,アメリカ・イリノイ州,CST
ピオリア,Peoria,40.42,-89.36,アメリカ・イリノイ州,CST
インディアナ州,Indiana,40.5638,-86.4036,アメリカ,America/Indiana/Vevay
インディアナポリス,Indianapolis,39.46001,-86.08298,アメリカ・インディアナ州,America/Indianapolis
ゲーリー,Gary,41.35298,-87.20298,アメリカ・インディアナ州,CST
サウス・ベンド,South Bend,41.41,-86.15,アメリカ・インディアナ州,CST
フォート・ウェーン,Fort Wayne,41.06302,-85.073,アメリカ・インディアナ州,America/Fort_Wayne
エバンズビル,Evansville,37.59002,-87.33302,アメリカ・インディアナ州,CST
アイオワ州,Iowa,43.1749,-95.2546,アメリカ,CST
デ・モイン,Des Moines,41.35298,-93.373,アメリカ・アイオワ州,CST
カンザス州,Kansas,38.4828,-98.0141,アメリカ,MST
トピーカ,Topeka,39.013,-95.403,アメリカ・カンザス州,MST
ウィチタ,Wichita,37.42,-97.193,アメリカ・カンザス州,MST
ケンタッキー州,Kentucky,37.2429,-84.5259,アメリカ,America/Kentucky/Monticello
レキシントン,Lexington,38.02298,-84.3,アメリカ・ケンタッキー州,CST
ルイスビル,Louisville,38.14298,-85.45302,アメリカ・ケンタッキー州,America/Louisville
ルイジアナ州,Louisiana,30.2555,-92.0348,アメリカ,CST
ニューオーリンズ,New Orleans,29.583,-90.05002,アメリカ・ルイジアナ州,CST
バトン・ルージュ,Baton Rouge,30.26298,-91.09,アメリカ・ルイジアナ州,CST
シュリーブポート,Shreveport,32.3,-93.45,アメリカ・ルイジアナ州,CST
メーン州,Maine,44.5931,-69.4653,アメリカ,EST
メリーランド州,Maryland,39.2625,-77.0339,アメリカ,EST
ワシントン,Washington,38.54302,-77,アメリカ・メリーランド州,EST
ボルティモア,Baltimore,39.18,-76.36598,アメリカ・メリーランド州,EST
マサチューセッツ州,Massachusetts,42.3518,-72.0923,アメリカ,EST
ボストン,Boston,42.20298,-71.05002,アメリカ・マサチューセッツ州,EST
ウースター,Worcester,42.15302,-71.48,アメリカ・マサチューセッツ州,EST
ミシガン州,Michigan,43.4828,-85.0443,アメリカ,US/Michigan
デトロイト,Detroit,42.223,-83.06299,アメリカ・ミシガン州,America/Detroit
フリント,Flint,43.00302,-83.403,アメリカ・ミシガン州,CST
ランシング,Lansing,42.44002,-84.33302,アメリカ・ミシガン州,CST
グランド・ラピッズ,Grand Rapids,42.583,-85.41002,アメリカ・ミシガン州,CST
ミネソタ州,Minnesota,46.5815,-94.314,アメリカ,CST
ミネアポリス,Minneapolis,44.57,-93.163,アメリカ・ミネソタ州,CST
セントポール,St Paul,45,-92.49,アメリカ・ミネソタ州,CST
ミシシッピ州,Mississippi,33.3707,-89.5348,アメリカ,CST
ジャクソン,Jackson,32.17298,-90.11298,アメリカ・ミシシッピ州,CST
ミズーリ州,Missouri,37.5952,-92.2732,アメリカ,CST
カンザスシティ,Kansas City,39.05,-94.34,アメリカ・ミズーリ州,CST
モンタナ州,Montana,46.2116,-109.5549,アメリカ,MST
ヘレナ,Helena,47,-112,アメリカ・モンタナ州,MST
ネブラスカ州,Nebraska,42.2134,-100.1025,アメリカ,MST
リンカーン,Lincoin,40.48302,-96.403,アメリカ・ネブラスカ州,MST
オマハ,Omaha,41.15,-95.57299,アメリカ・ネブラスカ州,MST
ネバダ州,Nevada,40.1901,-116.233,アメリカ,PST
ラスベガス,Las Vegas,36.103,-115.09,アメリカ・ネバダ州,PST
リノ,Reno,39.32002,-119.486,アメリカ・ネバダ州,PST
ニューハンプシャー州,New Hampshire,43.3255,-71.1931,アメリカ,EST
ニュージャージー州,New Jersey,39.4011,-74.432,アメリカ,EST
ニューアーク,Newark,40.44298,-74.11002,アメリカ・ニュージャージー州,EST
ニューメキシコ州,New Mexico,34.0034,-106.5816,アメリカ,MST
アルバカーキ,Albuquerque,35,-107,アメリカ・ニューメキシコ州,MST
ニューヨーク州,New York,42.3425,-75.3202,アメリカ,America/New_York
ニューヨーク,New York,40.45302,-73.59298,アメリカ,America/New_York
オールバニー,Albany,42.4,-73.5,アメリカ・ニューヨーク州,EST
シラキュース,Syracuse,43.02,-76.08298,アメリカ・ニューヨーク州,EST
バッファロー,Buffalo,42.54299,-78.51,アメリカ・ニューヨーク州,EST
ナイアガラフォールズ,Niagara Falls,43.06,-79.02301,アメリカ・ニューヨーク州,EST
ノース・カロライナ州,North Carolina,35.4123,-78.3239,アメリカ,EST
シャーロット,Charlotte,35.12302,-80.49599,アメリカ・ノースカロライナ州,EST
グリーンズボロ,Greensboro,36.03302,-79.48299,アメリカ・ノースカロライナ州,EST
ローリー,Raleigh,35.47002,-78.39,アメリカ・ノースカロライナ州,EST
ダラム,Durham,35.59,-78.53298,アメリカ・ノースカロライナ州,EST
ノース・ダコタ州,North Dakota,47.1654,-100.473,アメリカ,America/North_Dakota/Center
ビスマーク,Bismark,46.3,-100.1,アメリカ・ビスマーク州,CST
オハイオ州,Ohio,40.3839,-83.3855,アメリカ,EST
コロンバス,Columbus,39.57,-82.59,アメリカ・オハイオ州,EST
クリーヴランド,Cleveland,41.283,-81.39299,アメリカ・オハイオ州,EST
シンシナティ,Cincinnati,39.1,-84.283,アメリカ・オハイオ州,EST
トリード,Tledo,41.38298,-83.33302,アメリカ・オハイオ州,EST
アクロン,Akron,41.04001,-81.3,アメリカ・オハイオ州,EST
ヤングズタウン,Youngstown,41.05298,-80.373,アメリカ・オハイオ州,EST
デートン,Dayton,39.45302,-84.09598,アメリカ・オハイオ州,EST
オクラホマ州,Oklahoma,34.3159,-98.025,アメリカ,MST
オクラホマシティ,Oklahoma City,35.28001,-97.3,アメリカ・オクラホマ州,MST
タルサ,Tulsa,36.09302,-95.583,アメリカ・オクラホマ州,MST
オレゴン州,Oregon,45.0401,-119.391,アメリカ,PST
ポートランド,Portland,45.31001,-122.383,アメリカ・オレゴン州,PST
ユージン,Eugene,44.02298,-123.036,アメリカ・オレゴン州,PST
ペンシルバニア州,Pennsylvania,41.124,-78.1438,アメリカ,EST
フィラデルフィア,Philadelphia,39.583,-75.11002,アメリカ・ペンシルバニア州,EST
ピッツバーグ,Pittsburgh,40.26,-79.59,アメリカ・ペンシルバニア州,EST
アレンタウン,Allentown,40.36,-75.283,アメリカ・ペンシルバニア州,EST
エリー,Erie,42.07001,-80.043,アメリカ・ペンシルバニア州,EST
ロードアイランド州,Rhode Island,41.4307,-71.3112,アメリカ,EST
プロビデンス,Providence,41.493,-71.24598,アメリカ・ロードアイランド州,EST
サウスカロライナ州,South Carolina,34.1219,-80.5446,アメリカ,EST
サウスダコタ州,South Dakota,45.1301,-100.1534,アメリカ,MST
ピーア,Pierre,44.3,-100.1,アメリカ・サウスダコタ州,MST
テネシー州,Tennessee,35.3323,-87.0106,アメリカ,CST
ナッシュヴィル,Nashville,36.08298,-86.47298,アメリカ・テネシー州,CST
メンフィス,Memphis,35.08,-90.00598,アメリカ・テネシー州,CST
ノックスビル,Knoxville,35.583,-83.54302,アメリカ・テネシー州,CST
チャタヌーガ,Chattanooga,35.02,-85.17002,アメリカ・テネシー州,CST
テキサス州,Texas,30.5615,-99.4213,アメリカ,MST
オースティン,Austin,30.163,-97.433,アメリカ・テキサス州,MST
ヒューストン,Houston,29.45,-95.24302,アメリカ・テキサス州,MST
ダラス,Dallas,32.47,-96.47298,アメリカ・テキサス州,MST
サンアントニオ,San Antonio,29.25001,-98.3,アメリカ・テキサス州,MST
ウェーコ,Waco,31.32,-97.09,アメリカ・テキサス州,MST
フォートワース,Fort Worth,32.44002,-97.19001,アメリカ・テキサス州,MST
ボーモント,Beaumont,30.05,-94.06598,アメリカ・テキサス州,MST
コーパス・クリスティ,Corpus Christi,27.47298,-97.24299,アメリカ・テキサス州,MST
ラレド,Laredo,27.31,-99.29298,アメリカ・テキサス州,MST
ラボック,Lubbock,33.35002,-101.51,アメリカ・テキサス州,MST
アマリロ,Amarillo,35.13001,-101.49,アメリカ・テキサス州,MST
ブラウンズビル,Brownsville,25.55,-97.29298,アメリカ・テキサス州,MST
エルパソ,El Paso,31.46,-106.276,アメリカ・テキサス州,MST
ユタ州,Utah,39.211,-112.0827,アメリカ,MST
ソルト・レーク・シティ,Salt Lake City,40.46,-111.533,アメリカ・ユタ州,MST
バーモント州,Vermont,44.2654,-72.2954,アメリカ,EST
バージニア州,Virginia,37.0826,-78.252,アメリカ,EST
リッチモンド,Richmond,37.32002,-77.27598,アメリカ・バージニア州,EST
ノーフォーク,Norfolk,36.51,-76.163,アメリカ・バージニア州,EST
ニューポート・ニューズ,Newport News,36.59002,-76.25001,アメリカ・バージニア州,EST
ロアノーク,Roanoke,37.163,-79.56298,アメリカ・バージニア州,EST
ワシントン州,Washington,47.5432,-119.2112,アメリカ,PST
シアトル,Seattle,47.36,-122.19,アメリカ・ワシントン州,PST
スポーカン,Spokane,47.39,-117.24,アメリカ・ワシントン州,PST
タコマ,Tacoma,47.14298,-122.256,アメリカ・ワシントン州,PST
ウエスト・バージニア州,West Virginia,38.5033,-80.4846,アメリカ,EST
ウィスコンシン,Wisconsin,45.2202,-91.1522,アメリカ,CST
ミルウォーキー,Milwaukee,43.02298,-87.553,アメリカ・ウィスコンシン州,CST
マディソン,Madison,43.043,-89.24,アメリカ・ウィスコンシン州,CST
ワイオミング,Wyoming,42.5642,-107.4248,アメリカ,MST
シャイアン,Cheyenne,41,-105,アメリカ・ワイオミング州,MST
タシケント,Tashkent,41.16001,69.14002,ウズベキスタン,Asia/Tashkent
サマルカンド,Samarkand,39.40001,66.50002,ウズベキスタン,Asia/Samarkand
ヌクス,Nukus,42.28001,59.36302,ウズベキスタン,Asia/Samarkand
ブハラ,Bukhara,39.47449,64.24302,ウズベキスタン,Asia/Samarkand
カルシー,Karshi,38.53,65.48,ウズベキスタン,Asia/Samarkand
チルチク,Chirchik,41.28,69.34451,ウズベキスタン,Asia/Samarkand
ウルゲンチ,Urgench,41.32298,60.37,ウズベキスタン,Asia/Samarkand
ナボイ,Navoi,40.09302,65.18,ウズベキスタン,Asia/Samarkand
アングレン,Angren,41.0045,70.11002,ウズベキスタン,Asia/Samarkand
フェルガナ,Fergana,40.23,71.46001,ウズベキスタン,Asia/Samarkand
ナマンガン,Namangan,40.59298,71.40149,ウズベキスタン,Asia/Samarkand
アンジジャン,Andizhan,40.45302,72.21,ウズベキスタン,Asia/Samarkand
コーカンド,Kokand,40.32298,70.56298,ウズベキスタン,Asia/Samarkand
ポートビラ,Portvila,-17.4,168.3,バヌアツ,GMT+11:00
バチカン,Vatican,41.49,12.19,バチカン市国,Europe/Vatican
カラカス,Caracas,10.33,-66.583,ベネズエラ,America/Caracas
バルセロナ,Barcelona,10.073,-64.43001,ベネズエラ,America/Caracas
マラカイボ,Maracaibo,10.42,-71.38301,ベネズエラ,America/Caracas
マラカイ,Maracay,10.19,-67.32301,ベネズエラ,America/Caracas
バルキシメト,Barquisimeto,10.03302,-69.18,ベネズエラ,America/Caracas
バレンシア,Valencia,10.133,-67.59298,ベネズエラ,America/Caracas
シウダードグアヤナ,Ciudad Guayana,8.22001,-62.37001,ベネズエラ,America/Caracas
メリダ,Merida,8.373,-71.08298,ベネズエラ,America/Caracas
サンクリストバル,San Cristobal,7.47002,-72.15598,ベネズエラ,America/Caracas
シウダードボリバル,Ciudad Bolivar,8.05298,-63.35298,ベネズエラ,America/Caracas
マトゥリン,Maturin,9.44298,-63.103,ベネズエラ,America/Caracas
クマナ,Cumana,10.25001,-64.17002,ベネズエラ,America/Caracas
カビマス,Cabimas,10.23,-71.27151,ベネズエラ,America/Caracas
プント・フィフォ,Punto Fijo,11.403,-70.12,ベネズエラ,America/Caracas
プエルト・ラ・クルス,Puerto La Cruz,10.12302,-64.37599,ベネズエラ,America/Caracas
ダナン,Da Nang,16.02301,108.113,ベトナム,GMT+07:00
ニャチャン,Nha Trang,12.14002,109.09,ベトナム,GMT+07:00
クイニョン,Qui Nhon,13.46,109.11,ベトナム,GMT+07:00
フエ,Hue,16.27,107.333,ベトナム,GMT+07:00
カント,Can Tho,10.013,105.443,ベトナム,GMT+07:00
ミト,My Tho,10.20002,106.2,ベトナム,GMT+07:00
カムラン,Cam Ranh,11.553,109.14,ベトナム,GMT+07:00
ブンタウ,Vung Tau,10.21302,107.06,ベトナム,GMT+07:00
ハイフォン,Haiphong,20.493,106.41,ベトナム,GMT+07:00
ホーチミン,Hochiminn,10.46,106.43,ベトナム,GMT+07:00
ハノイ,Hanoi,21.01001,105.5,ベトナム,GMT+07:00
ホンゲイ,Hon Gai,21.11,107.2,ベトナム,GMT+07:00
ナムディン,Nam Dinh,20.26514,106.1926,ベトナム,GMT+07:00
タイグエン,Thai Nguyen,21.33079,105.4928,ベトナム,GMT+07:00
ビン,Vinh,18.47287,105.3757,ベトナム,GMT+07:00
クアンガイ,Quang Ngai,15.12364,108.4228,ベトナム,GMT+07:00
ダラト,Dalat,11.58206,108.2047,ベトナム,GMT+07:00
ラクジャー,Rach Gia,9.57569,105.0904,ベトナム,GMT+07:00
ラアユーン,Laayoune,27.09,-13.11298,西サハラ,UTC
ダクラ,Dakhla,23.45,-15.57,西サハラ,UTC
アピア,Apia,-13.48598,-171.443,西サモア,Pacific/Apia
ムカッラー,Mukalla,14.34,49.07,イエメン,GMT+03:00
アデン,Adan,12.47,45.03,イエメン,GMT+03:00
サヌア,San'a,15.223,44.133,イエメン,GMT+03:00
ノビ・サド,Novi Sad,45.15302,19.51,ユーゴスラビア連邦,GMT-01:00
ニーシュ,Nis,43.19451,21.53449,ユーゴスラビア連邦,GMT-01:00
プリシュティナ,Pristina,42.39,21.10001,ユーゴスラビア連邦,GMT-01:00
ベオグラード,Beograd,44.49,20.3,ユーゴスラビア連邦,GMT-01:00
ルサカ,Lusaka,-15.26301,28.17002,ザンビア,Africa/Lusaka
ヌドラ,Ndola,-12.59298,28.38298,ザンビア,Africa/Lusaka
カブウェ,Kabwe,-14.283,28.253,ザンビア,Africa/Lusaka
ムフリラ,Mufulira,-12.313,28.13,ザンビア,Africa/Lusaka
チンゴラ,Chingola,-12.32002,27.53,ザンビア,Africa/Lusaka
ルアンシュヤ,Luanshya,-13.08298,28.24,ザンビア,Africa/Lusaka
ハラーレ,Harare,-17.45598,31.04,ジンバブエ,Africa/Harare
ブラワヨ,Bulawayo,-20.11002,28.42,ジンバブエ,Africa/Harare
